game_id,price_cny,playtime_hours,positive_rate,review_count,chinese_support,tag_count,release_year
134,35.8,11.4,0.833,74103,0,8,2016
135,8.47,30.3,0.856,14394,0,7,2015
136,107.28,50.4,0.862,425,1,8,2017
137,97.88,4.4,0.834,1813,1,8,2017
138,29.87,19.2,0.776,9734,0,9,2021
139,41.54,17.5,0.752,34953,0,9,2017
140,36.08,30.1,0.927,5733,0,7,2016
141,88.41,59.6,0.699,1018,1,7,2019
142,68.87,5.2,0.795,2176,0,9,2017
143,41.75,4.0,0.967,21529,0,7,2021
144,176.96,15.0,0.843,16689,1,9,2020
145,22.95,23.0,0.633,515,0,4,2020
146,32.07,13.0,0.643,8292,1,5,2021
147,55.24,17.4,0.831,224,0,5,2017
148,50.6,6.7,0.704,6166,0,6,2016
149,61.25,23.6,0.856,920,1,8,2020
150,39.21,6.0,0.68,22208,0,6,2020
151,77.98,25.7,0.684,1620,1,7,2020
152,71.97,4.6,0.899,124399,0,4,2022
153,71.99,22.0,0.751,2138,1,7,2021
154,47.4,64.8,0.586,918,1,6,2016
155,78.65,5.7,0.625,96,0,6,2019
156,28.28,37.4,0.744,69531,1,5,2022
157,105.92,4.5,0.87,40153,1,11,2023
158,52.74,12.3,0.796,8310,1,7,2021
159,59.85,7.5,0.901,5617,0,6,2022
160,16.98,15.3,0.757,18862,1,5,2019
161,17.3,15.7,0.47,2102,0,7,2018
162,18.92,15.6,0.88,17769,0,3,2021
163,95.21,9.4,0.942,286,0,3,2020
164,32.45,10.9,0.659,8059,0,8,2020
165,23.82,16.9,0.729,2696,1,4,2017
166,45.09,23.8,0.724,1426,1,4,2016
167,8.97,12.6,0.786,118821,1,15,2017
168,204.32,18.1,0.879,10090,1,8,2019
169,108.16,15.0,0.725,890,1,3,2020
170,39.0,6.6,0.778,46801,0,3,2019
171,35.32,24.4,0.636,5946,0,5,2020
172,57.04,2.3,0.893,22221,1,5,2017
173,52.38,37.6,0.835,14623,1,8,2021
174,49.43,10.0,0.745,9911,1,8,2024
175,38.3,5.8,0.856,2524,0,7,2016
176,59.22,7.2,0.893,7222,0,8,2017
177,46.62,66.0,0.931,8351,0,3,2023
178,32.16,19.3,0.547,68733,1,7,2019
179,28.64,13.5,0.806,8317,1,9,2017
180,77.18,9.1,0.775,213276,1,8,2015
181,42.26,7.9,0.755,412,0,9,2022
182,38.83,3.1,0.863,1995,1,7,2017
183,25.22,8.9,0.741,500000,1,12,2018
184,30.5,4.0,0.691,456,0,9,2020
185,36.24,12.8,0.553,153738,1,5,2018
186,35.02,6.7,0.705,3218,1,13,2016
187,49.56,31.5,0.918,24388,1,10,2023
188,44.66,8.5,0.845,3149,0,6,2020
189,38.18,8.9,0.897,83648,1,7,2020
190,34.65,10.4,0.756,1347,1,8,2022
191,36.24,11.1,0.88,27795,1,7,2019
192,75.5,35.0,0.832,6116,1,7,2021
193,38.36,19.2,0.833,2026,1,4,2019
194,122.41,20.7,0.915,545,1,4,2023
195,78.65,8.6,0.953,4390,0,14,2021
196,21.99,7.5,0.879,6719,1,7,2019
197,21.73,10.5,0.896,23876,0,6,2021
198,151.79,8.0,0.734,80,0,6,2018
199,21.96,54.8,0.921,5750,1,10,2019
200,10.34,18.9,0.847,14630,1,7,2017
201,76.89,52.6,0.603,671,1,6,2023
202,143.04,30.7,0.806,28108,1,7,2020
203,34.36,13.2,0.618,3333,1,6,2022
204,49.01,16.5,0.822,7448,0,5,2022
205,31.32,7.6,0.831,40086,0,4,2021
206,73.55,13.9,0.827,29583,1,8,2021
207,77.76,7.8,0.868,48083,0,5,2019
208,5.48,17.1,0.786,2674,0,7,2015
209,55.1,3.8,0.687,2228,0,7,2020
210,22.35,1.2,0.939,17637,1,5,2019
211,79.14,15.2,0.787,8688,1,7,2021
212,19.12,6.7,0.931,3830,0,3,2016
213,48.41,5.6,0.811,23,0,5,2021
214,36.23,5.1,0.749,664,1,7,2016
215,26.38,6.8,0.88,31916,1,7,2022
216,17.64,21.3,0.731,9292,0,5,2022
217,17.83,1.6,0.662,2803,0,4,2022
218,30.33,4.2,0.534,3012,1,7,2016
219,27.38,13.3,0.821,416,1,7,2015
220,124.19,43.0,0.923,241,0,6,2020
221,36.61,27.7,0.582,979,1,4,2020
222,59.48,99.6,0.863,14246,0,4,2023
223,21.91,12.4,0.782,5057,1,6,2020
224,22.55,21.8,0.576,2630,1,7,2020
225,25.44,200.0,0.925,4690,1,5,2019
226,48.98,10.5,0.722,21207,0,6,2021
227,29.87,51.2,0.886,3111,0,9,2019
228,24.2,18.3,0.843,40427,1,4,2020
229,50.22,8.5,0.749,1907,1,7,2022
230,27.13,29.4,0.856,8722,1,3,2019
231,27.79,6.3,0.763,6085,1,5,2019
232,18.02,34.5,0.754,557,0,4,2020
233,28.78,103.6,0.721,1413,1,4,2015
234,25.48,10.1,0.957,13948,0,7,2020
235,22.31,4.8,0.797,162440,1,9,2021
236,48.72,8.7,0.857,18129,0,6,2015
237,32.47,23.2,0.74,1256,1,4,2019
238,47.15,3.2,0.861,23367,1,7,2020
239,86.21,15.3,0.933,3896,0,6,2018
240,74.88,32.2,0.838,4519,0,3,2019
241,13.64,5.2,0.939,44462,1,6,2020
242,43.29,7.7,0.857,197,0,7,2022
243,25.35,20.4,0.814,825,1,5,2023
244,36.79,6.0,0.873,7984,1,6,2022
245,73.02,18.6,0.67,16129,1,5,2022
246,48.96,10.2,0.912,110,1,9,2019
247,36.69,4.9,0.843,1401,1,5,2020
248,36.17,14.7,0.813,64652,0,6,2020
249,40.59,13.3,0.642,1926,0,8,2018
250,16.78,5.0,0.943,131,0,9,2024
251,36.91,11.4,0.766,20348,0,7,2018
252,79.82,12.6,0.79,10661,0,4,2024
253,25.36,66.9,0.749,2400,1,7,2016
254,40.31,4.6,0.759,28519,1,4,2019
255,81.73,32.3,0.853,6031,0,6,2020
256,131.12,23.1,0.931,6413,0,7,2021
257,11.32,91.2,0.741,1819,1,8,2020
258,32.21,36.5,0.618,45610,0,10,2019
259,22.53,7.4,0.661,727,1,11,2017
260,26.6,9.9,0.868,7493,1,4,2017
261,87.92,58.3,0.902,92916,1,13,2017
262,40.89,5.5,0.832,29831,1,5,2018
263,38.48,13.2,0.758,74666,1,6,2019
264,23.08,12.3,0.696,40447,1,8,2017
265,85.97,13.7,0.868,35344,0,13,2020
266,27.53,16.7,0.793,2015,0,4,2019
267,34.51,19.1,0.89,2313,0,5,2021
268,51.04,13.3,0.812,2248,0,5,2018
269,32.19,6.0,0.756,20369,1,2,2020
270,44.88,3.0,0.704,500000,1,4,2019
271,36.03,6.7,0.794,1070,1,5,2021
272,35.47,6.6,0.621,139,1,9,2021
273,18.85,14.7,0.813,768,1,4,2018
274,34.61,40.2,0.768,3439,1,5,2016
275,172.89,12.3,0.769,66,1,4,2021
276,31.27,30.5,0.787,32578,1,7,2021
277,29.89,15.8,0.898,11763,0,7,2024
278,44.43,22.7,0.754,452,1,9,2022
279,41.98,8.4,0.981,7271,1,4,2023
280,22.43,9.5,0.72,233,1,5,2018
281,27.21,34.8,0.812,3082,0,10,2020
282,25.02,9.1,0.829,318,1,8,2020
283,38.87,3.7,0.871,912,1,5,2019
284,16.2,14.8,0.894,1004,0,5,2015
285,49.58,11.5,0.905,1535,1,5,2022
286,31.4,5.9,0.899,236296,1,5,2018
287,42.35,11.5,0.768,7795,1,8,2016
288,36.85,16.1,0.669,1274,1,6,2022
289,41.31,16.5,0.83,414237,1,7,2021
290,18.01,66.7,0.628,17167,0,4,2017
291,66.08,25.8,0.832,1254,0,6,2021
292,47.19,12.7,0.577,3480,1,4,2015
293,21.44,7.3,0.854,7579,1,11,2017
294,24.12,34.2,0.918,5541,0,7,2023
295,9.86,5.0,0.826,31110,1,12,2020
296,33.9,10.1,0.853,413,1,5,2022
297,34.24,9.0,0.764,19271,0,4,2023
298,51.26,45.4,0.84,21558,1,5,2022
299,5.19,52.8,0.792,275,1,7,2021
300,6.97,5.4,0.695,20633,1,6,2019
301,70.71,8.4,0.842,6550,1,8,2019
302,68.48,24.5,0.849,829,0,8,2020
303,44.14,14.6,0.794,92928,0,8,2021
304,16.04,16.6,0.703,6133,1,6,2020
305,36.09,6.5,0.789,28466,1,5,2020
306,121.86,6.6,0.922,591,0,7,2021
307,44.72,17.0,0.645,6787,1,9,2019
308,32.47,8.1,0.866,164960,1,6,2022
309,28.32,2.9,0.712,139811,1,4,2018
310,15.02,18.4,0.807,2170,0,5,2019
311,46.38,10.1,0.764,511,1,8,2017
312,173.27,9.9,0.944,4089,0,4,2016
313,26.26,10.3,0.85,1413,1,5,2020
314,33.04,14.9,0.635,49,1,4,2016
315,56.65,10.9,0.794,516,0,7,2015
316,16.26,22.2,0.91,938,0,6,2021
317,58.92,17.1,0.616,5229,1,7,2021
318,40.59,2.3,0.716,235,1,7,2020
319,18.73,1.8,0.822,4888,0,7,2017
320,41.37,89.9,0.825,17820,1,4,2018
321,118.19,33.1,0.934,2244,0,5,2019
322,29.86,12.0,0.812,5708,1,4,2016
323,16.37,18.8,0.698,21037,1,4,2017
324,63.74,18.2,0.864,1174,1,9,2017
325,22.9,23.9,0.713,5396,0,11,2020
326,76.62,10.6,0.898,6190,0,8,2023
327,33.26,18.9,0.898,6329,1,4,2022
328,87.65,11.5,0.8,4868,1,3,2021
329,36.79,9.3,0.768,3516,1,9,2023
330,25.62,30.6,0.917,13978,0,8,2020
331,47.63,8.0,0.838,3209,1,3,2016
332,35.14,22.6,0.764,315,0,6,2017
333,20.03,68.5,0.796,21911,0,8,2020
334,37.08,4.4,0.831,7871,0,4,2022
335,19.19,19.4,0.867,3767,1,5,2019
336,15.34,5.7,0.843,1908,0,5,2020
337,44.14,39.3,0.859,126302,1,7,2017
338,41.48,49.1,0.791,21773,1,7,2023
339,102.1,11.9,0.771,221,1,5,2024
340,21.15,24.5,0.905,122,1,8,2015
341,40.33,4.3,0.896,9986,0,3,2022
342,22.09,6.3,0.814,2229,1,6,2019
343,67.49,4.3,0.749,807,1,6,2016
344,64.92,5.4,0.793,66184,0,5,2018
345,49.06,15.4,0.747,18420,1,8,2016
346,131.03,27.2,0.932,23660,0,12,2020
347,92.64,6.7,0.778,519,0,8,2022
348,29.77,41.9,0.766,500000,1,6,2019
349,59.41,15.2,0.941,18353,1,5,2021
350,33.24,6.6,0.646,714,0,5,2018
351,42.36,7.1,0.919,7693,1,5,2016
352,21.39,12.2,0.709,828,0,5,2024
353,39.49,6.2,0.895,2012,0,6,2021
354,111.08,66.6,0.645,2002,1,8,2021
355,25.98,13.7,0.559,491,0,10,2019
356,15.2,26.3,0.422,644,1,5,2020
357,31.73,20.6,0.663,2764,1,6,2019
358,38.52,6.5,0.838,435373,1,5,2020
359,42.82,8.2,0.908,1032,0,9,2017
360,27.03,37.8,0.7,1930,0,6,2022
361,29.69,8.8,0.622,688,0,6,2024
362,115.55,7.6,0.614,233,1,6,2019
363,58.2,8.0,0.666,258856,1,6,2022
364,41.15,30.0,0.867,14508,1,4,2020
365,31.94,18.6,0.851,220897,0,8,2016
366,13.34,12.8,0.911,4362,1,9,2019
367,133.43,8.7,0.88,1391,1,12,2016
368,27.26,15.2,0.801,1963,0,7,2017
369,30.64,2.3,0.827,19565,1,10,2019
370,115.2,24.1,0.838,19570,1,5,2018
371,64.44,27.5,0.886,15075,1,7,2021
372,54.81,15.9,0.881,3364,1,10,2019
373,15.99,16.9,0.9,5531,1,7,2022
374,50.03,19.4,0.927,175977,1,5,2018
375,26.36,23.6,0.867,4151,1,9,2020
376,148.84,29.2,0.78,13834,1,8,2024
377,43.68,7.1,0.733,4367,1,9,2022
378,66.74,12.9,0.914,13200,1,5,2023
379,41.76,3.3,0.699,972,1,9,2021
380,91.62,11.4,0.754,291,1,7,2015
381,47.15,4.7,0.829,6390,1,9,2021
382,18.9,3.2,0.892,598,1,5,2016
383,10.35,23.5,0.623,4064,0,8,2020
384,44.21,28.0,0.895,355111,1,4,2018
385,24.12,36.0,0.708,5576,0,7,2021
386,137.96,4.2,0.584,408,0,8,2017
387,77.59,8.9,0.896,4597,0,5,2022
388,44.8,29.4,0.718,7930,0,5,2022
389,79.18,8.3,0.758,83120,1,3,2019
390,27.27,3.1,0.839,2120,1,6,2016
391,7.57,28.2,0.759,677,1,6,2017
392,27.28,6.8,0.625,1035,1,5,2018
393,49.14,31.2,0.859,65,1,6,2015
394,13.01,25.2,0.854,500000,1,7,2020
395,37.8,10.3,0.694,435,0,7,2016
396,61.27,23.5,0.706,3595,1,6,2018
397,19.63,4.3,0.784,24089,1,5,2015
398,44.2,26.7,0.776,5221,1,4,2019
399,61.34,15.9,0.673,4913,1,9,2017
400,35.76,19.4,0.909,19393,1,6,2023
401,146.71,22.4,0.862,652,0,5,2024
402,22.9,17.6,0.863,1718,1,7,2021
403,48.07,5.0,0.776,17034,1,4,2020
404,37.08,40.1,0.619,21707,1,10,2020
405,49.89,4.4,0.57,430,0,7,2015
406,32.3,10.4,0.642,11513,0,4,2019
407,67.17,4.2,0.679,631,0,7,2022
408,63.32,27.2,0.937,3551,1,5,2021
409,17.06,6.9,0.882,2074,1,12,2022
410,23.95,1.2,0.856,45131,1,5,2021
411,21.24,17.2,0.95,78992,1,5,2021
412,46.15,14.9,0.707,33926,0,5,2020
413,49.78,32.5,0.85,94400,1,8,2021
414,77.45,17.8,0.853,500000,1,6,2017
415,75.02,6.0,0.865,138103,1,5,2017
416,57.48,30.5,0.694,3225,0,7,2016
417,48.42,5.8,0.83,43,0,8,2019
418,52.37,11.6,0.734,104181,1,10,2017
419,88.09,21.8,0.911,499,0,5,2021
420,18.49,14.6,0.766,925,1,5,2024
421,28.75,4.8,0.888,2763,1,4,2015
422,17.24,2.9,0.885,221212,0,8,2018
423,255.18,2.7,0.777,343,1,8,2023
424,52.14,36.1,0.843,10863,1,6,2020
425,29.08,7.9,0.72,76,1,8,2023
426,13.43,8.1,0.798,10694,1,6,2020
427,19.78,13.7,0.767,14618,1,4,2020
428,30.62,54.6,0.864,2257,1,5,2015
429,94.52,32.2,0.773,8135,1,8,2022
430,100.33,3.6,0.949,5130,1,8,2017
431,86.72,9.8,0.831,7343,1,5,2015
432,37.02,13.5,0.78,51260,0,7,2015
433,22.21,4.4,0.805,10427,1,7,2020
434,118.3,7.5,0.846,4126,1,5,2022
435,59.99,8.6,0.824,148,0,11,2020
436,40.31,19.7,0.915,57059,1,10,2021
437,33.21,19.7,0.67,8326,1,5,2020
438,69.8,7.1,0.804,142812,1,6,2019
439,25.05,12.1,0.813,1788,0,4,2019
440,26.51,28.8,0.61,560,1,7,2021
441,32.06,14.4,0.815,18373,1,3,2021
442,100.35,5.6,0.728,1316,1,6,2017
443,41.45,4.7,0.702,9718,1,7,2019
444,63.82,7.6,0.971,8788,1,6,2020
445,110.12,13.5,0.886,9953,0,7,2018
446,29.14,8.1,0.658,17624,1,5,2016
447,23.55,5.2,0.873,686,1,6,2023
448,15.66,61.9,0.817,4206,1,11,2023
449,16.53,15.3,0.582,25560,1,10,2021
450,74.74,23.0,0.786,965,0,8,2016
451,54.04,15.5,0.903,80,1,7,2017
452,106.45,97.1,0.865,1214,1,9,2019
453,28.18,10.0,0.886,1576,1,7,2017
454,16.12,27.3,0.504,2149,0,7,2022
455,22.12,15.4,0.756,500000,1,7,2018
456,67.14,15.2,0.872,1675,1,15,2017
457,26.78,7.4,0.814,668,1,5,2020
458,25.14,2.8,0.363,78,1,7,2020
459,21.0,6.1,0.904,5636,1,8,2020
460,49.97,17.9,0.723,1570,1,2,2021
461,64.96,19.8,0.941,3919,1,5,2017
462,39.97,3.0,0.663,12468,0,10,2021
463,18.13,33.3,0.587,2579,0,6,2017
464,20.65,19.7,0.791,65677,1,8,2019
465,85.39,7.1,0.828,1625,1,5,2019
466,48.59,5.3,0.739,23497,1,7,2015
467,31.35,38.0,0.616,7039,1,7,2023
468,18.65,16.0,0.951,37806,1,9,2016
469,44.78,5.1,0.895,3437,0,7,2019
470,108.42,16.8,0.806,227605,0,5,2020
471,25.54,6.7,0.712,5467,0,5,2016
472,32.74,9.7,0.686,10576,0,11,2019
473,40.56,27.1,0.844,11049,1,10,2015
474,18.75,8.2,0.844,1557,0,7,2022
475,84.04,15.7,0.679,1001,0,7,2018
476,79.77,4.2,0.774,4890,0,8,2022
477,10.0,14.7,0.741,103,0,8,2022
478,54.37,8.9,0.836,145846,1,6,2016
479,10.06,12.6,0.783,2984,1,7,2021
480,47.12,47.9,0.741,134,1,4,2020
481,82.43,8.6,0.668,4130,1,4,2021
482,52.88,6.0,0.825,30353,0,6,2022
483,33.93,12.9,0.609,1215,1,3,2021
484,90.95,14.2,0.789,8439,1,9,2022
485,35.39,15.8,0.651,3066,0,7,2020
486,18.3,9.4,0.966,1005,1,8,2015
487,40.76,5.3,0.784,20662,0,7,2018
488,26.34,6.7,0.801,2515,0,4,2019
489,31.23,33.6,0.893,3558,1,4,2020
490,300.0,19.5,0.726,5592,1,8,2016
491,38.56,13.0,0.726,4384,0,3,2023
492,14.07,17.3,0.796,230,0,4,2016
493,45.97,6.1,0.479,1139,1,4,2019
494,20.03,14.5,0.92,2779,0,9,2023
495,140.64,28.1,0.689,821,0,5,2021
496,14.28,2.0,0.838,1655,1,6,2018
497,51.97,12.8,0.869,9977,1,9,2015
498,59.79,14.2,0.851,8909,0,4,2016
499,56.02,22.3,0.914,8198,1,4,2017
500,41.89,21.2,0.979,38101,1,9,2016
501,15.05,24.7,0.703,879,0,7,2021
502,45.03,19.4,0.898,1510,1,7,2016
503,43.47,8.1,0.736,1739,1,4,2015
504,114.29,15.6,0.855,4601,0,3,2023
505,90.45,25.7,0.907,21385,0,4,2018
506,52.66,8.1,0.756,114992,0,4,2017
507,80.32,13.1,0.638,5819,1,6,2019
508,15.28,12.1,0.924,956,0,6,2019
509,30.27,2.1,0.796,2481,1,11,2020
510,95.94,3.3,0.634,70,1,3,2022
511,98.38,95.7,0.816,271958,1,3,2021
512,72.09,9.0,0.739,34474,1,3,2015
513,29.69,21.7,0.822,20625,1,5,2020
514,38.67,32.3,0.849,852,1,8,2022
515,29.38,38.8,0.844,566,1,8,2018
516,11.18,3.0,0.716,135,0,10,2023
517,45.44,9.1,0.952,149,1,8,2020
518,45.81,12.0,0.814,1970,1,8,2020
519,47.26,7.3,0.958,787,0,6,2023
520,33.17,22.6,0.86,2819,1,11,2020
521,30.87,15.8,0.87,1485,0,6,2021
522,24.31,8.3,0.932,2542,0,8,2024
523,26.6,3.2,0.942,62913,1,8,2020
524,27.27,31.0,0.769,10190,1,10,2023
525,19.17,20.8,0.896,1618,1,6,2021
526,68.05,15.8,0.732,1167,1,6,2020
527,95.79,5.3,0.69,4024,0,7,2019
528,72.37,41.1,0.476,3009,1,5,2018
529,41.06,10.7,0.84,59645,1,8,2015
530,17.59,9.8,0.829,2223,1,6,2022
531,29.63,19.1,0.841,2195,0,7,2021
532,38.79,65.6,0.922,115036,0,5,2021
533,32.32,1.5,0.914,59,1,10,2016
534,35.14,4.0,0.866,2964,0,8,2015
535,29.63,3.3,0.908,17377,0,4,2023
536,50.06,4.2,0.9,741,1,9,2019
537,60.86,18.9,0.798,14322,1,6,2019
538,27.95,7.5,0.796,162465,1,6,2020
539,133.48,40.3,0.809,2722,1,4,2024
540,72.09,78.5,0.662,1088,0,7,2022
541,59.55,22.0,0.951,3242,1,4,2017
542,62.56,50.7,0.856,500000,0,8,2017
543,22.09,4.3,0.825,55762,1,4,2017
544,54.71,12.3,0.785,305,0,3,2020
545,36.83,71.3,0.764,1931,0,11,2020
546,34.21,9.4,0.914,5154,1,6,2022
547,53.95,84.8,0.769,1514,1,4,2023
548,39.8,32.7,0.758,91,1,5,2018
549,102.74,30.7,0.664,17484,1,8,2022
550,108.84,59.2,0.811,8426,1,5,2021
551,99.06,7.4,0.774,485,0,6,2019
552,32.09,18.8,0.888,988,1,7,2022
553,89.49,31.8,0.939,113661,1,7,2019
554,42.53,16.6,0.671,4254,0,5,2023
555,65.59,9.2,0.808,444940,1,4,2020
556,32.59,6.6,0.873,1982,0,6,2022
557,118.91,8.8,0.987,500000,0,6,2019
558,74.1,6.7,0.587,5410,1,10,2018
559,29.91,64.7,0.729,12540,1,6,2016
560,86.01,3.3,0.917,3833,1,5,2020
561,30.71,6.7,0.893,345,1,3,2020
562,30.79,47.4,0.829,811,0,6,2019
563,65.55,3.6,0.946,86,0,5,2017
564,21.68,33.0,0.766,15549,1,8,2020
565,27.55,6.7,0.807,71,1,3,2020
566,41.31,12.6,0.865,43263,1,8,2021
567,39.87,13.6,0.52,662,0,6,2022
568,119.63,16.6,0.715,9348,1,6,2020
569,40.04,12.2,0.887,21278,0,8,2020
570,81.51,7.4,0.806,20201,1,5,2022
571,22.45,23.7,0.93,10976,1,8,2019
572,34.3,21.0,0.632,124311,0,12,2020
573,84.74,13.6,0.888,1425,1,9,2016
574,16.97,8.7,0.896,5571,0,8,2021
575,55.28,4.0,0.508,34021,1,7,2018
576,25.94,15.2,0.89,6090,1,5,2017
577,18.19,19.3,0.767,17937,0,8,2018
578,16.89,36.4,0.869,663,1,4,2021
579,45.62,10.2,0.838,4015,0,4,2020
580,14.78,6.1,0.942,10300,0,7,2023
581,31.48,17.5,0.944,78903,1,6,2021
582,95.81,5.3,0.518,18168,1,6,2017
583,73.0,16.5,0.808,1922,1,7,2021
584,47.53,22.8,0.875,6976,1,6,2023
585,35.9,11.5,0.645,26732,1,7,2024
